id,real,type,repo,commit_hash,component,symptom,bug_pattern,comment,localization
1070,bug,Quantum,Qiskit/qiskit-aer,7fe4f9eadc835705c25c13c753b8550b199efa44,Testing,Failing Test,API Outdated - External,"Fixer: ""The save expectation value tests are currently failing due to recent update in Terra""",https://github.com/Qiskit/qiskit-aer/commit/7fe4f9eadc835705c25c13c753b8550b199efa44#diff-f86ad9bcb209d346813e3c3dcc5fab2dd33ca40b3bc74548c371b490674632cfL49
1073,bug,Quantum,Qiskit/qiskit-aer,20c3b06c2464ce0342a920dfbe91c6a496707f7f,Simulator,"Crash - OS/PL Error, Crash","Wrong Concept, Wrong Identifier","Reporter: ""The reason is that specs (or more precisely, tape.diagonalizing_gates) assumes that an observable has diagonalizing_gates defined. The new Hamiltonian observable does not, since we do not know its diagonalisation."" The root cause is Api change becasuse of the new Hamiltonian observable, which triggered the problem.",https://github.com/Qiskit/qiskit-aer/commit/20c3b06c2464ce0342a920dfbe91c6a496707f7f#diff-fba8f4ad3effadc1b2379a13d353fbe9ab1221d02c7f8fad511c47f411c068c7L823
1076,bug,Quantum,Qiskit/qiskit-aer,759a01f43726d5146422141bfdcc83fc34c180d0,Simulator,Incorrect Output,"Incorrect IR - Missing Information, Incorrect Application Logic","From fixer: ""Fixed bug in matrix_product_state (simulation technique)::apply_kraus. After applying the kraus matrix to the relevant qubits, we should propagate the changes to the neighboring qubits."". In a related issue: ""MPS: invariant that sum of probabilities = 1 is not preserved""",https://github.com/Qiskit/qiskit-aer/commit/759a01f43726d5146422141bfdcc83fc34c180d0?branch=759a01f43726d5146422141bfdcc83fc34c180d0&diff=split#diff-fba8f4ad3effadc1b2379a13d353fbe9ab1221d02c7f8fad511c47f411c068c7R1506
1092,bug,Classical,Qiskit/qiskit-aer,bd00cf0e317a262f9b5cc500a07505a8323bc792,Simulator,"Crash - OS/PL Error, Crash",Memory Leak,"Reporter: ""QFT simulation ends unexpectedly with SIGSEGV (Segmentation fault) when using MPI, and the full statevector is larger than the memory available on one node."" Fixer: 'MPI parallelization fix"". Fixer: ""I added memory available check for save statevector or matrix and raising exception.""",https://github.com/Qiskit/qiskit-aer/commit/bd00cf0e317a262f9b5cc500a07505a8323bc792#diff-29959f6605de9061943dbda4874a5e1358a9098d84010665bd862d7e257b34a6R1486
1096,bug,Quantum,Qiskit/qiskit-aer,1cfa05e66c090ed6b57e7631b4935f2a7f5a6aad,"Machine Code Generation, Optimizations","Crash - Application Error, Crash","Incorrect Application Logic, Overlooked Corner Case","From user: ""When running a simple test of the state vector simulator with 16 qubits I get a segmentation fault."". Bug fixer: ""Fusion to generate diagonal gates has a bug to look up operations in a circuit and this PR fix this bug.""",https://github.com/Qiskit/qiskit-aer/commit/1cfa05e66c090ed6b57e7631b4935f2a7f5a6aad#diff-aefe4f71ad7775a6bf42f8d5505b6f9449220bc1deef54f9c76897430388c886L661
11,bug,Quantum,Qiskit/qiskit-ignis,3c59f82c11e87c071bc7e84240b50e2aa995281f,Testing,Failing Test,API Misuse - External,"In a test of tomography, the function state_fidelity did not set a parameter as validate=False. Whereas the signature in Qiskit Terra is def state_fidelity(state1, state2, validate=True) . Fixer: ""This commit fixes a small bug causing the tomography tests to fail.""",https://github.com/Qiskit/qiskit-ignis/commit/3c59f82c11e87c071bc7e84240b50e2aa995281f#diff-a7d8cf4cc7a9a0e84fa3194dc2b985839ae16bdb02e986a0eb7972ffec48fe25L69
110,bug,Classical,PennyLaneAI/pennylane,c0d269e5f1eba2f9d033bd9b6a79c10a11f4228a,"Quantum Abstractions, Machine Code Generation",Incorrect Output,Wrong Identifier,"In the qubit representation of tensorflow backend, the imaginary and conjugate functions have the same signature.",https://github.com/PennyLaneAI/pennylane/commit/c0d269e5f1eba2f9d033bd9b6a79c10a11f4228a#diff-ea7af25ea5de004c0e55f8a757db807e578339d66246970ea6910ddabcfdd573L159
1102,bug,Classical,ProjectQ-Framework/ProjectQ,722104c40e9526e92a71a2161cb5f2d8757bcbfe,Interface to Quantum Computer,"Crash - OS/PL Error, Crash",API Outdated - External,Fix: change link to IBM api endpoint,https://github.com/ProjectQ-Framework/ProjectQ/commit/722104c40e9526e92a71a2161cb5f2d8757bcbfe#diff-64620288bd5b575a5abdb0d0c3f96185edc04d629e3772f51cf8eedd9b836b73L23
1103,bug,Classical,ProjectQ-Framework/ProjectQ,81752a9880a6527fbd3b6ebf17ba00fc564979f3,Testing,"Crash - OS/PL Error, Crash","Overlooked Corner Case, Misconfiguration, Misconfiguration - Testing",The test did not check the presence of the simulator before running the test. The fix uses the setup method to check and initialize a default option.,https://github.com/ProjectQ-Framework/ProjectQ/commit/81752a9880a6527fbd3b6ebf17ba00fc564979f3#diff-a1b07e4b909730f127432e8d9f7c2ce4d3caf83d7e28bd4429b71a0d1b1ce346R34
1105,bug,Classical,ProjectQ-Framework/ProjectQ,dd34daa10b91e68b89be14c6b375f869ac9d04a2,Quantum Abstractions,Incorrect Output,Incorrect Application Logic,"Reporter: ""The most important condition that hash functions must satisfy is a == b implies hash(a) == hash(b), but the BasicQubit class doesn't meet it:""",https://github.com/ProjectQ-Framework/ProjectQ/commit/dd34daa10b91e68b89be14c6b375f869ac9d04a2#diff-419c95a49cb0c34419dd8027addcd1370167c4048d0d5f75ed5d6a0951f9671fL99
1107,bug,Quantum,ProjectQ-Framework/ProjectQ,0e2113b64d616ec303bfff22a38af05a74583bbe,Quantum Abstractions,"Crash - OS/PL Error, Crash","Wrong Concept, Overlooked Corner Case","In the basic operation ControlledGate, the qubits and qureigsters are confused with each other. Fixer: ""Fix ControlledGate failing when a register is empty""",https://github.com/ProjectQ-Framework/ProjectQ/commit/0e2113b64d616ec303bfff22a38af05a74583bbe#diff-6a6e7d4e51cbc8bef568a3b9763e0c3e133378a47526cb3c8fb362a4661dffe6L205
1108,bug,Classical,ProjectQ-Framework/ProjectQ,75e7a7fefea232e61327e7d7a7b09345e494c655,Infrastructural Scripts and Glue Code,Incorrect Output,Syntax Error,bug: declare an exception without the keyword raise in front of it.,https://github.com/ProjectQ-Framework/ProjectQ/commit/75e7a7fefea232e61327e7d7a7b09345e494c655#diff-60f61ab7a8d1910d86d9fda2261620314edcae5894d5aaa236b821c7256badd7L146
1110,bug,Classical,ProjectQ-Framework/ProjectQ,81f94d479612418552d3b1d628d661dac6a1206c,Quantum Abstractions,"Crash - OS/PL Error, Crash",Type Problem,"Reporter: ""Can't convert complex to float"", thus the fixer extracts the real part to convert to float (since previous conditions assure us the imag part is 0)",https://github.com/ProjectQ-Framework/ProjectQ/commit/81f94d479612418552d3b1d628d661dac6a1206c#diff-d1370406152a9fed146eff02e83f2d415bcfe8731d87dbbc82a5c8ae06173a44L77
1111,bug,Classical,ProjectQ-Framework/ProjectQ,144c8d1cc06214ff4be2a4ed79d5fa9753c8265b,Machine Code Generation,"Crash - OS/PL Error, Crash","Overlooked Corner Case, Type Problem","Bug: where the loop variable is not checked to be an integer, now it raises error for non sensical values.",https://github.com/ProjectQ-Framework/ProjectQ/commit/144c8d1cc06214ff4be2a4ed79d5fa9753c8265b#diff-f6cf006c5e163b640b36135dd305618ccfbe43ac4a7d7e1e2f64eec01e57cb86R239
1112,bug,Classical,ProjectQ-Framework/ProjectQ,88e2f1823748a82d1f3ad5e877b3a9b1f2aa43ad,Infrastructural Scripts and Glue Code,"Crash - OS/PL Error, Crash","Overlooked Corner Case, Type Problem","Fixer: ""Bugfix OpenMP flags in setup.py: change -openmp to -qopenmp if icc is used as -openmp is interpreted as -o penmp when using clang or gcc"".",https://github.com/ProjectQ-Framework/ProjectQ/commit/88e2f1823748a82d1f3ad5e877b3a9b1f2aa43ad#diff-60f61ab7a8d1910d86d9fda2261620314edcae5894d5aaa236b821c7256badd7L116
1115,bug,Quantum,ProjectQ-Framework/ProjectQ,c703417beb3c97f73514d6f39320251a1c7dadab,Machine Code Generation,Non-termination,Incorrect Application Logic,"Bug-fix: In a decomposition pass (_recognize_arb1qubit), It does not allow gates which have control qubits as otherwise the AutoReplacer might go into an infinite loop.",https://github.com/ProjectQ-Framework/ProjectQ/commit/c703417beb3c97f73514d6f39320251a1c7dadab#diff-255c217755539c95d4dcbe341623851f01ade37b8f10966aa4b6b6546b1c2999L48
1116,bug,Quantum,ProjectQ-Framework/ProjectQ,62d3fb11578a06131b0105b220651520b2a7338b,Simulator,Unclear,Incorrect Application Logic,Bug: change code logic in the simulator to create a new output quantum state. The iteration over indice is changed.,https://github.com/ProjectQ-Framework/ProjectQ/commit/62d3fb11578a06131b0105b220651520b2a7338b#diff-8617f9c78468999134bda76186fed6d51de98bb6076598252c5635d830a86a1bL364
1118,bug,Classical,ProjectQ-Framework/ProjectQ,11f45873e20c2fa78fab2b59b5b460ac5f595fc6,Machine Code Generation,"Crash - OS/PL Error, Crash",Overlooked Corner Case,fix division by 0,https://github.com/ProjectQ-Framework/ProjectQ/commit/11f45873e20c2fa78fab2b59b5b460ac5f595fc6#diff-ac700d2d956b702ec6f3aa84e08a67e824ea8f8a1d221a5e622a0cc12bb0220fR69
1121,bug,Quantum,ProjectQ-Framework/ProjectQ,67ce24bd5d4aa06eb43c8e094c551c89567ef57d,Visualization and Plotting,"Crash - OS/PL Error, Crash",Overlooked Corner Case,"Fixer: ""fix circ drawer when depth == 1"". Reporter: ""Fix bug while drawing if no gate present in the circuit"". Crash because the range call will have range(1,0) which doesn't make sense",https://github.com/ProjectQ-Framework/ProjectQ/commit/67ce24bd5d4aa06eb43c8e094c551c89567ef57d#diff-0b0c5c413ecb05eceb7e537a72a9eb03058f38614cbbef42fdfc0c78112fafacR227
1122,bug,Classical,ProjectQ-Framework/ProjectQ,6ef8a0eeb06267b27bbbe9207b71013e9cca65d4,Tutorial and Examples,"Crash - Application Error, Crash",Wrong Identifier,"The token and device were collected from user input in the same variable, becasue of a copy paste pattern.",https://github.com/ProjectQ-Framework/ProjectQ/commit/6ef8a0eeb06267b27bbbe9207b71013e9cca65d4#diff-99a50be330403b2a53e77c15db0a5224fdbc0b11fef2ab9faf3df24e8f0849faL56
1123,bug,Classical,ProjectQ-Framework/ProjectQ,c15f3b25dd2efc426507360a19b6b1dded2ec37e,Infrastructural Scripts and Glue Code,"Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Installation",The build procedure (setup.py) on Mac failed with ValueError. The problem involves the versions of the libraries.,https://github.com/ProjectQ-Framework/ProjectQ/commit/c15f3b25dd2efc426507360a19b6b1dded2ec37e#diff-60f61ab7a8d1910d86d9fda2261620314edcae5894d5aaa236b821c7256badd7R373
1126,bug,Quantum,ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,Testing,Failing Test,Incorrect Numerical Computation,"Fixer: ""Fix tests for the phase estimation decomposition""",https://github.com/ProjectQ-Framework/ProjectQ/pull/408/commits/759d45a742b40fd51afbd58fdba31f6cc5aa6ec0#diff-7cd937d18bd60922609416a20117fbe094e97cd9b9b61a736ebd8d082cedba16L97
1139,bug,Classical,microsoft/QuantumLibraries,cbf36bc4d8efcac9f4f20bbbc2b87ca302611c91,Classical Abstractions,Incorrect Output,"Incorrect Numerical Computation, Imprecise Result",The normalization of a sampling interval was wrong. It should be by 2 ^ bitsRandom instead of 2 ^ bitsRandom + 1.,https://github.com/microsoft/QuantumLibraries/commit/cbf36bc4d8efcac9f4f20bbbc2b87ca302611c91#diff-0f0a70aed50413b111f33b1b4bbb63d9375e5136941fec9406e018d329c2c00fL113
1149,bug,Classical,microsoft/QuantumLibraries,7ccf6c2ccc8851a72e42aa4c6853fd243f1b27cc,Quantum State Evaluation,"Crash - Application Error, Crash",Missing Error Handling,"To estimate the frequnecy of a certain measured output (e.g. value 0), we use EstimateFrequencyA method. Bug: sometimes that routine can have failures because of the circuit, but the exception raised was incorrect. Fix: use nested try catch to correctly handle the exceptions.",https://github.com/microsoft/QuantumLibraries/commit/7ccf6c2ccc8851a72e42aa4c6853fd243f1b27cc#diff-77ac20361cc30cb5c5aecf0e2178a336dc60ae5db961493c9f231f2cc4db2d0dR120
1156,bug,Quantum,microsoft/QuantumLibraries,1c8620c10cfbf016d315668e22766c091502eea4,Tutorial and Examples,Unclear,Incorrect Circuit,"Fixer: fix adder primitive which works with quantum gates. Fixer: ""The tests didn't catch the bug, because integer tests were not executed. The PR enables these tests.""",https://github.com/microsoft/QuantumLibraries/commit/1c8620c10cfbf016d315668e22766c091502eea4#diff-73b12fbcd888a59f4fc757ca2d1ebaadf316f46dd53686eda7c0ea25c93ba28aL231
1175,bug,Classical,microsoft/qsharp-compiler,979c3ddb9e58e23dfa3f9ccf75c69b94041934aa,Intermediate Representation,Unclear,"Type Problem, Misconfiguration, Misconfiguration - Building",The syntax extension of the Q# languages have problem with type inference. The bug is in the language definiton.,https://github.com/microsoft/qsharp-compiler/commit/979c3ddb9e58e23dfa3f9ccf75c69b94041934aa#diff-add6fede7da3da651fbada6ae99167244486dad35c6cab5a2ef677163e11dbfcL310
1178,bug,Quantum,microsoft/qsharp-compiler,7173815bb77d20b7cc7a342e8569b77b5e79e612,Machine Code Generation,Unclear,Incorrect Application Logic,Q# has a dedicated statement for uncomputation. Conjugations are patterns of the form U†VU for unitary transformations U and V. The uncomputation is done automatically by the compiler. The application of the rewriting steps is in the wrong order,https://github.com/microsoft/qsharp-compiler/commit/7173815bb77d20b7cc7a342e8569b77b5e79e612#diff-69552e7c33369c8fda4276a4308d2148bffda06e62aab1cfabd2b93bc0f9d740L231
1188,bug,Classical,microsoft/qsharp-compiler,1ca68a9c43a9d6c05f7fb4cb1ce46295e70d6091,Infrastructural Scripts and Glue Code,"Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Testing",To build the library on linux and macos we need to run a bash comand which is specified in and xml like file. The bug consisted in a missing parameter passed to the command (there was no link to the qsc.dll file ) .,https://github.com/microsoft/qsharp-compiler/commit/1ca68a9c43a9d6c05f7fb4cb1ce46295e70d6091#diff-951a40a2db31725d6313d80763aa66a2fa8da6596bf2ba80493668db9b157a28L37
1195,bug,Classical,microsoft/qsharp-compiler,34a8c0b0903005d5d9a89b67ef0deec65cb6f0fd,Infrastructural Scripts and Glue Code,"Crash - OS/PL Error, Crash",Overlooked Corner Case,"In the building script we need to pass some assembly constants. But sometimes they are not present, thus before assigning we have to check if they are available to us, otherwise pass an empty string.",https://github.com/microsoft/qsharp-compiler/commit/34a8c0b0903005d5d9a89b67ef0deec65cb6f0fd#diff-4cbe8b5e4188a26ab757866fe8a0a639e72c25becf1ae0381335d0c0e3d7ee71R20
1212,bug,Classical,microsoft/qsharp-compiler,b1c3ec68f4bfae42eaaa3e2026f077332cccfa04,Infrastructural Scripts and Glue Code,"Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Building","Fixer: ""As I am validating the signing on e2e builds I noticed a couple of problems: Compiler dlls are distributed unsigned because during the pack step they are getting rebuilt. To fix this, I added the --no-build flag during packaging.""",https://github.com/microsoft/qsharp-compiler/commit/b1c3ec68f4bfae42eaaa3e2026f077332cccfa04#diff-e25670a1815f9d14a46252fd1f9a164c7f9fff8aba28893eb8cd6ec0e7106e8aR27
1216,bug,Quantum,microsoft/qsharp-compiler,cb553b73f02833f7e9c74fa83ca787b1c0a7e603,Machine Code Generation,"Crash - Application Error, Crash",Incorrect Application Logic,"Fixer: ""This change includes 3 fixes/updates to the ClassicallyControlled rewrite step"". Reporter: ""For example, the if-condition if (M(q) != One) will correctly be handled (since it is ExpressionKind.NEQ), but the condition if (not (M(q) == One)) will not be transformed and then will fail target translation at execution time.""",https://github.com/microsoft/qsharp-compiler/commit/cb553b73f02833f7e9c74fa83ca787b1c0a7e603#diff-f84b550aeb56db7ccec001d18de78f7186bed65d460555a2603bb5aa49348d7eR163
1217,bug,Quantum,microsoft/qsharp-compiler,c2f8e0e712fc698d93ef9b4991444874a7c04b50,Optimizations,"Crash - Application Error, Crash",Overlooked Corner Case,"Reporter: ""The call graph design includes the functionality to trim to a concrete call graph that includes only those callables that are part of the entrypoint dependency tree. However, this means that if a given callable has a specialization that is unused, any callables only referred to in that specialization will have no edges and will not be included in the concrete graph, even though the specialization itself is not pruned. The end result is that the specialization will use types corresponding to callabes that are not generated, resulting in a compilation failure.""",https://github.com/microsoft/qsharp-compiler/commit/c2f8e0e712fc698d93ef9b4991444874a7c04b50#diff-bb82a01e31c7b1f4182464ede48bb89a39a0d9a537090d6125f6eac13ac5c208R268
1220,bug,Quantum,microsoft/qsharp-compiler,d2f3de6cd0fd072569fc125cfe89941b0a40c968,"Optimizations, Classical Abstractions",Incorrect Output,"Incorrect Application Logic, Incorrect IR - Wrong Information","Reporter: ""This fixes an issue where body intrinsic callables would appear twice in monomorphized results by pruning the list of concretized callables based on intrinsic settings."" Which makes the results incorrect.",https://github.com/microsoft/qsharp-compiler/commit/d2f3de6cd0fd072569fc125cfe89941b0a40c968#diff-7135f20ddb17b6860557496f970d21c795a65dddf3880363718cadbf1fd4021dL104
1221,bug,Classical,microsoft/qsharp-compiler,3ffd626b249f836369054cc1aa9e5d2f8aadfe0b,Infrastructural Scripts and Glue Code,"Crash - OS/PL Error, Crash",Incorrect Application Logic,"Reporter: ""Q# Language Extension crashes on startup and prints the following error message:""",https://github.com/microsoft/qsharp-compiler/pull/886/commits/5d0eb76714158052042b0c7fe0b5db06e4fd904c#diff-1b163a6102755a26bca68d80285fd6513894a51bf469787fc69cdd34e42894a3R160
1222,bug,Classical,microsoft/qsharp-compiler,1af31ba43561e9cbfa99be70e633f6d39a4fa71e,Machine Code Generation,"Crash - OS/PL Error, Crash",Incorrect Application Logic,"Reporter: ""QIR code does not respect lazy evaluation of logical binary operator. Program should not seg-fault.""",https://github.com/microsoft/qsharp-compiler/commit/1af31ba43561e9cbfa99be70e633f6d39a4fa71e#diff-2b74c34cc3ca8d964ea4e34398fd6b2115a50fb24e2ad934068d50422b9702abR392
1229,bug,Classical,microsoft/qsharp-compiler,ed60c81e5192cddd5f7342c08a1c00d392473127,Intermediate Representation,"Crash - OS/PL Error, Crash","Incorrect Application Logic, Overlooked Corner Case","Reporter: ""The following Q# snippet using both named item copy-and-updates and a return inside an if/else block fails to compile when QIR generation is enabled:"". Fixer: ""Fixing an issue where reference count increases were not applied in certain cases""",https://github.com/microsoft/qsharp-compiler/commit/ed60c81e5192cddd5f7342c08a1c00d392473127#diff-9a96096a7db05efe0dd6156c1f79f11ffba33d88b83f3260e9d6c0c2d1544b0aR28
1230,bug,Classical,microsoft/qsharp-compiler,4cfa49817b99a1fd6a9c74f0ff3b1e84a84ac74c,Machine Code Generation,"Crash - OS/PL Error, Crash","Incorrect Application Logic, Incorrect IR - Wrong Information","Fixer: ""The issue was that certain branching in llvm (specifically for conditional expressions and for the correction in copy-and-update) were not properly registered with the caching mechanism in the QIR generation, such that the generated QIR tried to access values that were created only in certain branches.""",https://github.com/microsoft/qsharp-compiler/commit/4cfa49817b99a1fd6a9c74f0ff3b1e84a84ac74c#diff-d72a80363d839b02d5bf562da75e9641615d62dce924b53e85790cde9d1d8179R123
1233,bug,Classical,microsoft/qsharp-compiler,2dbaea713e9fe1925a4b14483d37c0decaea6ba8,Machine Code Generation,"Crash - Application Error, Crash",Incorrect Application Logic,"Reporter: ""The following code fails at runtime if executed via QIR""",https://github.com/microsoft/qsharp-compiler/commit/2dbaea713e9fe1925a4b14483d37c0decaea6ba8#diff-2b74c34cc3ca8d964ea4e34398fd6b2115a50fb24e2ad934068d50422b9702abL2097
1234,bug,Classical,microsoft/qsharp-compiler,c3d1a09f70960d09af68e805294962e7e6c690d8,Infrastructural Scripts and Glue Code,"Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Building, String Bug",During the incremental build there is a xml like file which determines and output file with a wildecard extension (.*) and that ruined the entire build process.,https://github.com/microsoft/qsharp-compiler/commit/c3d1a09f70960d09af68e805294962e7e6c690d8#diff-357de3b19f0b044c2672d2e4cbe1651fe6d35be3d19c1b37d2c57cb6dc10b94eL140
1245,bug,Quantum,QE-Lab/OpenQL,bc0d1c7981a71349d6b1fd816276df8645dfc010,Machine Code Generation,Incorrect Output,"Incorrect Application Logic, Incorrect Scheduling","In the scheduling of the compiler instruction, each instruction should have a specific moment/timestamp. Bug: there was a clash on the timestamp 0, thus they change an internal curr_cycle setting to avoid this clash.",https://github.com/QE-Lab/OpenQL/commit/bc0d1c7981a71349d6b1fd816276df8645dfc010#diff-a8c5552cb6ce43c4a85a994d031825fbc258dc3a78cd24700984ab96f63d0cc3L310
1246,bug,Classical,QE-Lab/OpenQL,a8494680613fc0912aa4bb9184d0a4d8b1f94a08,"Infrastructural Scripts and Glue Code, Quantum Abstractions","Crash - OS/PL Error, Crash","Type Problem, Overlooked Corner Case, Misconfiguration, Misconfiguration - Building",The bug consisted in a wrong conversion of types form numpy to python integer in expression which use those integers as qubit indices: k.identity(np.uint32(qubit)). Changing a configuration file to force a certain conversion (in C++) was enough.,https://github.com/QE-Lab/OpenQL/commit/a8494680613fc0912aa4bb9184d0a4d8b1f94a08#diff-77ba3d7671f0a86af20708935f8f21aed46df1bb888db6086d466231f5e4458eL17
1254,bug,Quantum,QE-Lab/OpenQL,9a443a2ddd15349d2750edcf5b9cbbbef82e5929,Machine Code Generation,"Crash - OS/PL Error, Crash",Incorrect Application Logic,"Fix a problem with the scheduler, change ALAP (as late as possible) with ASAP (as soon as possible)",https://github.com/QE-Lab/OpenQL/commit/9a443a2ddd15349d2750edcf5b9cbbbef82e5929#diff-a8c5552cb6ce43c4a85a994d031825fbc258dc3a78cd24700984ab96f63d0cc3L686
1257,bug,Classical,QE-Lab/OpenQL,3615bb3bba9d1f664f485139e123073df3419967,"Infrastructural Scripts and Glue Code, Testing",Other Non-functional,Syntax Error,"Reporter: ""A logical block opening on the line  CMakeLists.txt:56 (IF) closes on the line CMakeLists.txt:59 (ENDIF) with mis-matching arguments.""",https://github.com/QE-Lab/OpenQL/commit/3615bb3bba9d1f664f485139e123073df3419967#diff-1e7de1ae2d059d21e1dd75d5812d5a34b0222cef273b7c3a2af62eb747f9d20aL59
1261,bug,Classical,QE-Lab/OpenQL,bbf64b674b88cc87e27c235b954f1a905a29ccfb,Infrastructural Scripts and Glue Code,Other Non-functional,API Outdated - External,"Fixer: ""fixed swig deprecated module warning""",https://github.com/QE-Lab/OpenQL/commit/bbf64b674b88cc87e27c235b954f1a905a29ccfb#diff-929a280d17b610f071ca3dae182f52f3ac0fb7db05402f77e7e927734bd5af4bL36
